序号,章节,章节代码,源行号,说话人代码,说话人,类型,英文原文,中文译文
275,第一幕·场景1,a1s1,352,n,Neferu,台词,"""Well, remember that giving up ones fate to the parents is rather radical itself, as is the amount of change that has occurred under Amicus.""","""把自己的命运托付给Parent本身就相当激进的了，一如在Amicus的统治下发生的变化。"""
276,第一幕·场景1,a1s1,353,m,主角(MC),台词,"""I don't think Amicus is all that radical.""","""我不觉得Amicus有那么激进。"""
277,第一幕·场景1,a1s1,355,n,Neferu,台词,"""Oh, by wolven standards, he is. Trust me. So it's all culminated in this--""","""噢，按照沃尔文的标准来看，相信我，他有。因此，这也就导致-"""
278,第一幕·场景1,a1s1,357,,,旁白,Neferu pauses with a look of surprise that's almost comical.,Neferu带着一种近乎滑稽的惊讶表情停了下来。
279,第一幕·场景1,a1s1,358,,,旁白,I look around in confusion.,我不解地环顾起四周。
280,第一幕·场景1,a1s1,360,,,旁白,Then his expression turns to one of anger.,然后他的表情变成了愤怒。
281,第一幕·场景1,a1s1,361,m,主角(MC),台词,"""Wha--""","""什-"""
282,第一幕·场景1,a1s1,362,,,旁白,"The jackal puts a finger to his lips as he stands, then just walks off into the forest next to us.",胡狼悄无声息地在嘴唇前竖起一根手指，接着走进了旁边的树林中。
283,第一幕·场景1,a1s1,364,,,旁白,I listen to the crackling of branches before it goes mostly silent.,我聆听着树枝的噼啪声，随后静了下来。
284,第一幕·场景1,a1s1,365,,,旁白,"I look around again, suddenly feeling vulnerable.",我再次环顾四周，突然感到自己非常脆弱。
285,第一幕·场景1,a1s1,366,,,旁白,"I actually start to wonder if these separatists are infiltrating the palace right now, and that's why Neferu wanted to talk to me so badly.",我真的开始怀疑那些分裂分子是不是已经渗透进了皇宫，所以Neferu才如此急切地想跟我谈。
286,第一幕·场景1,a1s1,367,,,旁白,"But then I hear a yowl that makes me leap up to my feet, heart pounding, not sure if Neferu could have possibly made a sound like that.",就在次时，我被一声嚎叫吓了一激灵。我的心怦怦直跳，不确定这是否来自Neferu。
287,第一幕·场景1,a1s1,368,,,旁白,But then I see what it is;,不过紧接着，我看到了声音的主人。
288,第一幕·场景1,a1s1,369,,,旁白,"Neferu comes rolling out of the forest twenty feet ahead of me, entangled with something that looks very familiar.",Neferu从前方二十英尺处的森林里滚了出来，和一个眼熟的东西纠缠在一起。
289,第一幕·场景1,a1s1,373,al,Alexios,台词,"""Release me, sand dog!""","""放开我，沙狗！"""
290,第一幕·场景1,a1s1,375,n,Neferu,台词,"""What's the matter, Alex? We were doing this not so long ago and you very much enjoyed it!""","""怎么了，Alex？不久前你不是还很享受的吗！"""
291,第一幕·场景1,a1s1,377,al,Alexios,台词,"""We are known for our acting abilities, as you know!""","""如你所知，我们以演技而闻名！"""
292,第一幕·场景1,a1s1,379,n,Neferu,台词,"""Yes, but you are a {i}terrible{/i} actor.""","""确实，不过你是一名{b}拙劣{/b}的演员。"""
293,第一幕·场景1,a1s1,381,al,Alexios,台词,"""You never can resist manhandling me, you brute!""","""你这个野蛮人，总是对我动手动脚的！"""
294,第一幕·场景1,a1s1,383,n,Neferu,台词,"""The tables have turned. I remember when you couldn't keep your paws off me!""","""情况反过来了吗，我还记得当时你舍不得松开爪子的模样呢！"""
295,第一幕·场景1,a1s1,384,al,Alexios,台词,"""Yes, well...""","""唔，呃..."""
296,第一幕·场景1,a1s1,386,al,Alexios,台词,"""Perhaps I mistook you for being better-endowed. Did Cato kick you so hard that you shrunk somehow?""","""也许我看走眼了，怎么缩成这样，Cato踢得那么狠吗？"""
297,第一幕·场景1,a1s1,390,al,Alexios,台词,"""Yaaa!!!""","""呀---！！！"""
298,第一幕·场景1,a1s1,393,,,旁白,"Neferu suddenly lets Alex go, letting him face-plant right into the sand.",Neferu突然放开了Alex，对方脸朝下栽进了沙子里。
299,第一幕·场景1,a1s1,395,n,Neferu,台词,"""The water is simply cold, Alex.""","""水很凉而已，Alex。"""
300,第一幕·场景1,a1s1,397,al,Alexios,台词,"""A likely excuse!""","""借口！"""
301,第一幕·场景1,a1s1,398,,,旁白,I'd been watching the whole exchange with my mouth slightly open.,我微微张着嘴，看完了整个过程。
302,第一幕·场景1,a1s1,399,,,旁白,I haven't seen Alex in months.,我已经有好几个月没见到Alex了。
303,第一幕·场景1,a1s1,400,,,旁白,"Not only that, but the interaction between the two of them is definitely weird, like they're both used to doing it... and liking it.",不仅如此，他们两个之间的互动也很奇怪，就好像他们都习惯了...也喜欢这样做。
304,第一幕·场景1,a1s1,401,,,旁白,Neferu collects his breath first from their little tussling match and narrows his eyes down at Alex.,扭打过后，Neferu先是喘了口气，然后眯起眼睛俯视着Alex。
305,第一幕·场景1,a1s1,403,n,Neferu,台词,"""Enough stalling for time Alex. Why are you still spying on us when your cover's been blown and you have no communication with your home moon?""","""时间拖够了吧，Alex。你的身份已经暴露了，也和自己的星球失去了联系，为什么还在监视我们？"""
306,第一幕·场景1,a1s1,405,al,Alexios,台词,"""First of all, we were here first. I should be suspicious that you've come to spy on me!""","""首先，是我们先到的。我有理由怀疑是你在监视我！"""
307,第一幕·场景1,a1s1,406,m,主角(MC),台词,"""Cassius is here?""","""Cassius也来了？"""
308,第一幕·场景1,a1s1,407,,,旁白,"I look around, not sure if I'm actually wanting to see the wolf or not.",我来回张望，不确定自己是否想看到那只狼。
309,第一幕·场景1,a1s1,408,,,旁白,Our relationship is definitely complicated after everything that has happened.,在发生了那么多事后，我们的关系一定非常复杂。
310,第一幕·场景1,a1s1,410,,,旁白,Alex seems to notice me for the first time.,Alex似乎终于注意到了我。
311,第一幕·场景1,a1s1,411,al,Alexios,台词,"""Oh, [mc], you are here with the jackal? How are you this--""","""哦，[mc]，你跟这只胡狼在一起？你怎么-"""
312,第一幕·场景1,a1s1,412,m,主角(MC),台词,"""Alex, don't.""","""打住，Alex。"""
313,第一幕·场景1,a1s1,413,,,旁白,I guess I sound fed up enough and Alex cuts his usual spiel short.,我想我的声音听起来够不耐烦的了，Alex也收起了他一贯的游戏。
314,第一幕·场景1,a1s1,415,al,Alexios,台词,"""Rude.""","""粗鲁。"""
315,第一幕·场景1,a1s1,417,m,主角(MC),台词,"""Oh, I'm rude?""","""哦？我粗鲁？"""
316,第一幕·场景1,a1s1,418,,,旁白,I take a step forward and Alex stiffens up.,我朝前迈了一步，Alex的身体瞬间僵硬了。
317,第一幕·场景1,a1s1,419,,,旁白,Neferu quickly steps between us.,Neferu快步走到我们中间。
318,第一幕·场景1,a1s1,421,n,Neferu,台词,"""So, Cassius?""","""那么，Cassius呢？"""
319,第一幕·场景1,a1s1,422,al,Alexios,台词,"""That is none of your business, jackal. I'd say after the way you two have treated me that--""","""这与你无关，胡狼。在被你们两个如此对待之后，我必须要说-"""
320,第一幕·场景1,a1s1,424,c,Cassius,台词,"""Alex! Get me that damn vine antenna-thing. I'm tired of holding this--""","""Alex！把那个该死的藤蔓天线给我拿来。我受够这-"""
321,第一幕·场景1,a1s1,427,al,Alexios,台词,"""Kssshhhhsshhh!!!""","""嘘-----------！！！"""
322,第一幕·场景1,a1s1,428,,,旁白,"Alex makes such an intense, felinoid hissing sound that if I could, I'd lower my own ears.",Alex发出了异常强烈的、猫一样的斯斯声。如果可以的话，我真想假装没听见。
323,第一幕·场景1,a1s1,429,,,旁白,"It's silent for a moment, then there's some shifting around from deep within the thicket of trees.",沉默一段时间后，灌丛深处传来了移动的声音。
324,第一幕·场景1,a1s1,430,c,Cassius,台词,"""Everything alright, Alex?""","""一切都好吗，Alex？"""
325,第一幕·场景1,a1s1,431,,,旁白,Cassius's tone of concern quickly transitions into one of his usual irritation.,Cassius担心的语调迅速转化为了他一贯的恼怒。
326,第一幕·场景1,a1s1,432,c,Cassius,台词,"""Because if I end up fracturing something over this, you'd best hope cat medicine is as truly advanced as they say--""","""因为如果我因此摔断了什么，你最好祈祷猫族的药物真如他们所说的那样高级-"""
327,第一幕·场景1,a1s1,434,al,Alexios,台词,"""Cassius, we've got visitors.""","""我们有客人来访，Cassius。"""
328,第一幕·场景1,a1s1,435,c,Cassius,台词,"""From... Omorfa? Did it work?""","""奥莫法的客人...？那东西生效了吗？"""
329,第一幕·场景1,a1s1,437,al,Alexios,台词,"""By FUCKING Galen, get out here!""","""{b}天杀的{/b}Galen，快离开！"""
330,第一幕·场景1,a1s1,438,,,旁白,"A few more indignant yelps from Cassius later, and the white wolf appears, stumbling out next to Alex and Neferu.",又愤愤不平地叫了几声后，Cassius出现了，那只白狼跌跌撞撞地走到Alex和Neferu旁边。
331,第一幕·场景1,a1s1,441,c,Cassius,台词,"""Don't snap at me. You diminish my standing every time you do it.""","""别冲我发火，我的面子会挂不住的。"""
332,第一幕·场景1,a1s1,442,,,旁白,"He focuses on us, barely reacting.",他注视着我们，几乎没有任何反应。
333,第一幕·场景1,a1s1,444,c,Cassius,台词,"""Oh, it's you two. Hello, [mc].""","""哦，是你们啊。你好，[mc]。"""
334,第一幕·场景1,a1s1,445,,,旁白,He looks Neferu up and down.,他上下打量着Neferu。
335,第一幕·场景1,a1s1,447,c,Cassius,台词,"""I see that the jackal wishes to make us all uncomfortable with his unsightly privates. Congratulations jackal, your ploy has worked.""","""我看那胡狼是想用他不堪入目的私处让我们不自在。恭喜你，胡狼，你的花招奏效了。"""
336,第一幕·场景1,a1s1,449,n,Neferu,台词,"""What were the two of you just talking about?""","""你们二位刚才在说什么？"""
337,第一幕·场景1,a1s1,451,c,Cassius,台词,"""Just now? I am simply tired of Alex screeching at me like I am {i}his{/i} pet. Especially as we're about to depart on this very public tour.""","""刚才？我只是厌倦了Alex对我大喊大叫，好像我是{b}他的{/b}宠物一样。尤其是在我们即将踏上这场公开旅行之际。"""
338,第一幕·场景1,a1s1,452,,,旁白,I shake my head.,我摇摇头。
339,第一幕·场景1,a1s1,453,,,旁白,"I had no idea these assholes were coming with us, but the possible espionage takes precedence.",虽然好奇这两个混球怎么也要跟来，但间谍活动仍是我优先考虑的。
340,第一幕·场景1,a1s1,454,m,主角(MC),台词,"""Hold on a second. Are you building an Omorfan communication device?""","""等一下，你们是在建造奥莫法的通信设备吗？"""
341,第一幕·场景1,a1s1,455,,,旁白,"I don't know much about Omorfa or its technology, but antennae made out of vine sounds like the plant-tech Omorfans have mastered.",我对奥莫法和其技术知之甚少，但藤蔓制成的天线听起来就像是奥莫芬斯们掌握的植物科技。
342,第一幕·场景1,a1s1,457,c,Cassius,台词,"""Oh, that? Yes, yes indeed. Do you have an interest in such technology, [mc]?""","""哦，那个啊？不错，的确是，你对类似的科技感兴趣吗，[mc]？"""
343,第一幕·场景1,a1s1,458,m,主角(MC),台词,"""Wh-- No, why the hell are you building it!?""","""什-不对，你们为什么要造那玩意儿！？"""
344,第一幕·场景1,a1s1,459,n,Neferu,台词,"""This definitely goes against the rules that you agreed to to stay here, Alex.""","""这显然违反了你亲自口同意的，留在这里的一系列规定，Alex。"""
345,第一幕·场景1,a1s1,461,,,旁白,"Cassius looks around, seemingly confused.",Cassius左顾右盼，一副糊涂相。
346,第一幕·场景1,a1s1,462,c,Cassius,台词,"""What!? This isn't his project. I am simply fascinated with electronic foliage and am learning the basics.""","""什么！？这不是他的计划。我只是沉迷于电子植物，并在学习相关基础知识而已。"""
347,第一幕·场景1,a1s1,463,m,主角(MC),台词,"""By building it on this island, where Alex had his last communication device? You can't be that dumb, Cassius...""","""在这个岛上？在Alex最后的通信设备的所在地？你不会真傻吧，Cassius..."""
348,第一幕·场景1,a1s1,465,c,Cassius,台词,"""Excuse me!?""","""你说什么！？"""
349,第一幕·场景1,a1s1,466,al,Alexios,台词,"""Calm yourself, Cassius. They have no appreciation for Omorfan technology. Khemians have such intense superiority complexes.""","""冷静下来，Cassius。他们欣赏不了奥莫法科技，克米杨的优越感就是如此强烈。"""
350,第一幕·场景1,a1s1,467,m,主角(MC),台词,"""Why are we bringing this prick with us? That's just insane.""","""咱们为什么要带上那两个蠢货？疯了吧。"""
351,第一幕·场景1,a1s1,468,c,Cassius,台词,"""Enough! Just because you are the emperor's pet--""","""够了！你身为皇帝的宠物-"""
352,第一幕·场景1,a1s1,469,m,主角(MC),台词,"""Boyfriend.""","""是男朋友。"""
353,第一幕·场景1,a1s1,470,,,旁白,Cassius shudders violently.,Cassius剧烈颤抖了起来。
354,第一幕·场景1,a1s1,472,c,Cassius,台词,"""Euch! Pet, as I was saying, does not mean you can say whatever you like to me or {i}my{/i} pet. Good day to you both!""","""呃啊！宠物，并不意味着你可以对我，或是{b}我的{/b}宠物出言不逊。祝你们二位好运！"""
355,第一幕·场景1,a1s1,476,,,旁白,"Neferu and I watch them walk down the length of the beach, then get into a Sightseer I hadn't seen behind a bend of trees.",在Neferu和我的注视下，他们沿着沙滩，进了一艘我没看见的，停在湖弯处树林后面的Sightseer中。
356,第一幕·场景1,a1s1,477,n,Neferu,台词,"""Well, I suppose I will have to speak to Amicus about this.""","""嗯，看来我有必要就这件事跟Amicus谈谈。"""
357,第一幕·场景1,a1s1,478,m,主角(MC),台词,"""Same.""","""同感。"""
358,第一幕·场景1,a1s1,480,n,Neferu,台词,"""Even more to worry about on our little trip.""","""我们小小的路途波澜不断啊。"""
359,第一幕·场景1,a1s1,481,m,主角(MC),台词,"""I don't get why they're coming.""","""我是不知道他们为什么跟来。"""
360,第一幕·场景1,a1s1,482,n,Neferu,台词,"""Cassius is still a popular force in Adastran politics. It's all politics, just as I am being brought along to represent the sought-after-alliance.""","""Cassius在阿达斯特拉政界依然很受追捧。政治而已，就像我代表结盟派的利益而来一样。"""
361,第一幕·场景1,a1s1,483,,,旁白,"I sigh, sitting under some shade.",我叹了口气，在阴凉处坐下。
362,第一幕·场景1,a1s1,484,m,主角(MC),台词,"""Then what am I?""","""那我呢？"""
363,第一幕·场景1,a1s1,486,n,Neferu,台词,"""Well, I think Amicus is more fond of you than the rest of us, but otherwise most Adastrans haven't seen a human in person. Might as well get them used to it before your species' entry into the {i}Galaxias{/i}.""","""这个嘛，我想Amicus对你的喜爱远超我们其他人。不过除此之外，阿达斯特拉的民众普遍没有见过人类，也许他是想在你的物种并入{b}加拉西亚斯{/b}前让他们习惯。"""
364,第一幕·场景1,a1s1,487,n,Neferu,台词,"""Anyway, I must head back so that I can prepare an appointment with Virginia. She must know about the on-going dangers of Alex as well.""","""总之，我必须回去准备跟Virginia会面了。她一定也知道Alex的危险性。"""
365,第一幕·场景1,a1s1,489,n,Neferu,台词,"""To cut our conversation short, just remember that this tour is not all leisure. There is a great deal of danger when it comes to these separatists. They would die for their cause, just as most of us would.""","""简而言之，记住这次旅行不完全是休闲的，那些分裂分子具有相当程度的危险性。他们心甘情愿为自己的事业牺牲，就像我们大部分人一样。"""
366,第一幕·场景1,a1s1,490,m,主角(MC),台词,"""Alright.""","""好吧。"""
367,第一幕·场景1,a1s1,492,n,Neferu,台词,"""Though do allow yourself to have fun. Just with caution. I'll head back now and send a Sightseer. Don't think about swimming back without one.""","""不过，还是让自己享受享受，只是要小心。我现在就回去就派一艘Sightseer过来，别想着凭自己游回去。"""
368,第一幕·场景1,a1s1,494,,,旁白,"I nod and Neferu heads off, still naked, though back to his old self at least.",我点点头，Neferu一丝不挂地离开了，至少他变回了过去的样子。
369,第一幕·场景1,a1s1,496,,,旁白,"As I wait for the Sightseer, I lay back in the cool, shaded sand, and fall asleep.",在等待Sightseer的过程中，我躺在阴凉的沙滩上，进入了梦乡。
370,第一幕·场景1,a1s1,502,a,Amicus,台词,"""Awaken!""","""起床咯！"""
371,第一幕·场景1,a1s1,504,,,旁白,"I wake up with a jump, yelping under Amicus's furry form before he starts kissing me, his paws sliding up and down my body.",我猛然惊醒，在Amicus毛茸茸的身体下尖叫起来，随后他开始亲吻我，爪子在我身上不安分地摸来摸去。
372,第一幕·场景1,a1s1,505,,,旁白,I let him do that for a few seconds before pushing him off.,我由着他做了几秒钟，接着把他推开。
373,第一幕·场景1,a1s1,506,m,主角(MC),台词,"""Amicus, what the hell!""","""怎么回事，Amicus！"""
374,第一幕·场景1,a1s1,508,a,Amicus,台词,"""Oh no, you're not lecturing me. ESPECIALLY not after you apparently swam here without a Sightseer--""","""噢，别指责我，{b}尤其{/b}是在你不乘坐Sightseer，选择游过来之后-"""
375,第一幕·场景1,a1s1,509,,,旁白,"I wince, silently cursing Neferu for not being able to keep his mouth shut.",我一愣，在心中暗骂嘴巴漏风的Neferu。
376,第一幕·场景1,a1s1,511,a,Amicus,台词,"""--and falling asleep under scant shade? [mc], have you forgotten how badly you burned two months back?""","""-还在不怎么阴凉的地方睡着了？你忘了两个月前的晒伤有多严重吗，[mc]？"""
377,第一幕·场景1,a1s1,512,,,旁白,How could I forget?,我怎么能忘呢？
378,第一幕·场景1,a1s1,513,,,旁白,Amicus was so horrified by the prospect that he questioned how humans survived with so few natural defenses.,Amicus当时被吓得六神无主，甚至开始质疑人类是如何在如此缺乏天然防御的情况下生存下来的。
379,第一幕·场景1,a1s1,514,a,Amicus,台词,"""I'm becoming more concerned about you every day.""","""我真是越来越担心你了。"""
380,第一幕·场景1,a1s1,515,,,旁白,I rub my eyes as Amicus helps me to my feet.,我揉着眼睛，在Amicus的帮助下站起身。
381,第一幕·场景1,a1s1,516,m,主角(MC),台词,"""I was waiting for a Sightseer.""","""我是在等一艘Sightseer来着。"""
382,第一幕·场景1,a1s1,518,a,Amicus,台词,"""It's here, and good thing too. Our guide for the tour has arrived.""","""它已经到了，还有一件好事，咱们的向导也到了。"""
383,第一幕·场景1,a1s1,519,m,主角(MC),台词,"""Who?""","""是谁？"""
384,第一幕·场景1,a1s1,520,,,旁白,Amicus waves his paw dismissively.,Amicus不屑地摆了摆爪子。
385,第一幕·场景1,a1s1,521,a,Amicus,台词,"""One of the bear siblings. He's weird like they always are, so I'll keep your interactions short.""","""一个熊的Sibling。他们族还是那么古怪，所以我会尽量避免你们之间的交流。"""
386,第一幕·场景1,a1s1,522,,,旁白,I frown.,我皱起眉头。
387,第一幕·场景1,a1s1,523,m,主角(MC),台词,"""I think I can decide that for myself.""","""我想我可以自己决定。"""
388,第一幕·场景1,a1s1,525,a,Amicus,台词,"""Yes, yes, of course. Now let's be on our way!""","""是，是，当然。咱们回去吧！"""
389,第一幕·场景1,a1s1,526,,,旁白,Amicus lifts me into a bridal carry so that I don't burn my feet on the sand.,Amicus像抱新娘一样把我抬了起来，以免我的脚被沙子烫伤。
390,第一幕·场景1,a1s1,528,a,Amicus,台词,"""You were not waiting for me. I said at the eleventh hour, you know.""","""你没有等我，我是说第十一时那会。"""
391,第一幕·场景1,a1s1,529,m,主角(MC),台词,"""You're always late.""","""谁让你总是迟到。"""
392,第一幕·场景1,a1s1,530,a,Amicus,台词,"""How could I be late on a day like this?""","""我怎么会在这种日子迟到呢？"""
393,第一幕·场景1,a1s1,531,,,旁白,"I cling to my fiancé, listening to his deep voice rumble through his chest.",我紧紧抱住自己的未婚夫，聆听着他胸膛中低沉的轰鸣。
394,第一幕·场景1,a1s1,533,a,Amicus,台词,"""Have you packed your essentials?""","""你把必需品打包好了吗？"""
395,第一幕·场景1,a1s1,534,m,主角(MC),台词,"""Um...""","""呃..."""
396,第一幕·场景1,a1s1,536,a,Amicus,台词,"""Don't worry, I have not either!""","""不要紧，我也没有！"""
397,第一幕·场景1,a1s1,538,a,Amicus,台词,"""Let us prepare for our journey together, [mc]. I hope you're excited, because I have much planned for just the two of us.""","""一起准备吧，[mc]。希望你有感到兴奋，毕竟我为咱俩制定了不少计划呢。"""
398,第一幕·场景2,a1s2,2,,,旁白,"On our way to the Sightseer, I look back at the forest and it's then that I remember what had happened before I'd fallen asleep.",在去Sightseer的路上，我回头望向森林，睡着之前的事情突然浮现了出来。
399,第一幕·场景2,a1s2,3,m,主角(MC),台词,"""Wait, did you know Cass and Alex are coming?""","""等一下，你知道Cass和Alex要来吗？"""
400,第一幕·场景2,a1s2,5,a,Amicus,台词,"""Ah, yes, that was a bit of a last minute addition to the plan. I did not know if Cassius's schedule would be free when we departed and it turns out it was.""","""呃，知道，在最后临时决定的。之前还不清楚出发那天Cassius有没有安排。"""
401,第一幕·场景2,a1s2,6,m,主角(MC),台词,"""I mean, that's fine, but I just think it's weird that we're bringing along the guy that tried to kill everyone.""","""我并非不赞成，只是觉得有一个曾试图害死所有人的家伙在身旁实在很诡异。"""
402,第一幕·场景2,a1s2,7,,,旁白,"I'm kind of exaggerating, but Alex's partially successful plan to destabilize Adastra is one of the main reasons life here was so difficult.",可能有些夸张，但Alex实现了部分的、动摇阿达斯特拉的阴谋，正是这里的生活如此艰难的主要原因之一。
403,第一幕·场景2,a1s2,11,a,Amicus,台词,"""Wait a moment, how did you find out? I booked them a suite in the city. They are to meet with us at the university.""","""先等等，你是怎么知道的？我在城里给他们订了套房，并约好学院见的啊。"""
404,第一幕·场景2,a1s2,12,,,旁白,I frown.,我皱着眉。
405,第一幕·场景2,a1s2,13,m,主角(MC),台词,"""Neferu told you about me swimming to the island, but not how we caught Alex building a communication device again?""","""Neferu告诉你我游到了岛上，却没提我和他逮到Alex又在建通信设备？"""
406,第一幕·场景2,a1s2,15,a,Amicus,台词,"""No...""","""没有..."""
407,第一幕·场景2,a1s2,16,m,主角(MC),台词,"""Man, Neferu's got weird priorities these days.""","""天，Neferu最近怎么连轻重缓急都分不清了。"""
408,第一幕·场景2,a1s2,17,a,Amicus,台词,"""Wait, what is this about Alex building a communication device?""","""慢着，Alex建通信设备又是什么情况？"""
409,第一幕·场景2,a1s2,18,m,主角(MC),台词,"""Well, we overheard Cassius talking about building a plant-tech device. And Alex built one here last time because the signals were out of range for interception, right?""","""就是，我们无意中听Cassius说他们要建一个植物科技的设备。Alex上次也是在这个信号拦截范围外的地方建的，没错吧？"""
410,第一幕·场景2,a1s2,20,a,Amicus,台词,"""Oh that little shit! I--""","""那个小杂种！我-"""
411,第一幕·场景2,a1s2,22,,,旁白,Amicus suddenly stops and takes a deep breath.,Amicus猛地停了下来，深吸一口气。
412,第一幕·场景2,a1s2,23,,,旁白,It's like he's deeply pondering something.,像是在认真思考什么。
413,第一幕·场景2,a1s2,25,a,Amicus,台词,"""I may actually have to kill him.""","""我可能真的会杀了他。"""
414,第一幕·场景2,a1s2,26,m,主角(MC),台词,"""Huh!?""","""哈！？"""
415,第一幕·场景2,a1s2,27,,,旁白,"Amicus continues walking toward the Sightseer, though his jovial mood from earlier is completely gone.",Amicus头也不回地朝Sightseer走去，愉快的心情消失无踪。
416,第一幕·场景2,a1s2,28,a,Amicus,台词,"""I can't believe he'd make me do this after I gave him an undeserved second chance at life.""","""我破例饶了他一命，他竟敢恩将仇报。"""
417,第一幕·场景2,a1s2,29,m,主角(MC),台词,"""Wait, are you serious? You're gonna execute him?""","""等一下，你是认真的？你要处决他？"""
418,第一幕·场景2,a1s2,30,,,旁白,"Suddenly the idea that Alex's actions could actually lead to deadly consequences is, well, disturbing.",一想到Alex的行为可能导致致命的后果，我突然感觉到了，唔，不安。
419,第一幕·场景2,a1s2,31,,,旁白,"It would make sense, but I just can't imagine him being offed like that, with Amicus being the one responsible for it.",这是他咎由自取没错，我只是无法想象这是由Amicus提出来的。
420,第一幕·场景2,a1s2,32,,,旁白,But then Amicus sighs again.,但随后Amicus叹了口气。
421,第一幕·场景2,a1s2,34,a,Amicus,台词,"""No. I probably should. I know my father would have, and as emperor I'm obligated to seek justice for my people--""","""不，只是可能，不过我知道父亲一定会的。作为一国之主，我有义务为自己的人民伸张正义-"""
422,第一幕·场景2,a1s2,36,a,Amicus,台词,"""Which would be the end of that cat and any relation with Omorfa... But I am shifting our diplomacy toward a more... Khemian style, and executing diplomats, no matter how justified, is simply not how it is done.""","""但这也将导致阿达斯特拉与奥莫法彻底决裂...我正试图把这里的外交政策变得更加-克希米亚式，而处死一名外交官是万万不应该的，无论有多么正当的理由。"""
423,第一幕·场景2,a1s2,37,a,Amicus,台词,"""Relations with the cats is already strained as it is.""","""我们与猫族的关系本来就很紧张了。"""
424,第一幕·场景2,a1s2,38,m,主角(MC),台词,"""I think you should just deport him.""","""我觉得你应该把他驱逐出境。"""
425,第一幕·场景2,a1s2,40,a,Amicus,台词,"""Oh I would, you know that, but It's all the more complicated with Cassius in the mix.""","""我也想啊，但在Cassius的干涉下，事情变得很复杂。"""
426,第一幕·场景2,a1s2,41,,,旁白,Amicus finally lowers me into the Sightseer and we begin to float across the lake.,Amicus将我放进了Sightseer，我们开始漂浮过湖。
427,第一幕·场景2,a1s2,44,m,主角(MC),台词,"""So I thought he was doing social work in the poorer towns and cities?""","""话说，他不是正在贫困的城镇做福利工作么？"""
428,第一幕·场景2,a1s2,45,a,Amicus,台词,"""We managed to synch our schedules in Lux, so he will be accompanying us for just the first part of our journey.""","""我们设法同步了在卢克斯日程，所以他只会参与旅行的第一部分。"""
429,第一幕·场景2,a1s2,46,a,Amicus,台词,"""He is still popular in Lux, so the visual of him by my side could be rather advantageous. After that we will part ways.""","""他在卢克斯依然很受欢迎，和他同行也有利于我的形象。之后我们就会分道扬镳了。"""
430,第一幕·场景2,a1s2,47,m,主角(MC),台词,"""So how is Alex gonna fit into all of this? Doesn't the public know what he did?""","""那Alex要怎么加进来？民众又不是不知道他做了什么。"""
431,第一幕·场景2,a1s2,49,a,Amicus,台词,"""Cass says that emphasizing that Alex is his pet will play into the narrative that the saboteur was conquered.""","""按照Cass的说法，强调Alex是他的宠物可以起到破坏份子已经被征服的宣传效果。"""
432,第一幕·场景2,a1s2,50,m,主角(MC),台词,"""I thought you'd gotten rid of the pet system.""","""我还以为你们已经摈弃宠物那一套了。"""
433,第一幕·场景2,a1s2,52,a,Amicus,台词,"""Just another decree being held back by Cass's antics. It will be abolished as soon as that damn cat is out of the way.""","""Cass的荒唐举动阻挠了法令的推行。等那只该死的猫消失，我就立即着手解决。"""
434,第一幕·场景2,a1s2,54,a,Amicus,台词,"""Perhaps I should just rid us of the problem and surprise Lux with a public execution. They still enjoy such spectacle in that region, you know.""","""也许我应该果断点，用公开处决的方式给卢克斯一个惊喜。知道吗，那个地区的人民仍乐衷于此。"""
435,第一幕·场景2,a1s2,55,,,旁白,I think I'm starting to see why Neferu didn't tell Amicus about Alex.,"难怪Neferu没有把Alex的事告诉给Amicus。"""
436,第一幕·场景2,a1s2,56,,,旁白,"I try to shift the conversation to a lighter tone, though.",总之，我试着把话题转移到更轻松的方面上。
437,第一幕·场景2,a1s2,57,m,主角(MC),台词,"""I don't think you'd execute him, even if you weren't changing the diplomatic style of Adastra.""","""即使你无意改变阿达斯特拉的外交风格，我也不觉得你会处决他。"""
438,第一幕·场景2,a1s2,59,a,Amicus,台词,"""Oh? Are you implying that I'm soft?""","""哦？你是在暗示我软弱吗？"""
439,第一幕·场景2,a1s2,60,m,主角(MC),台词,"""Well, I just think that you remember when Alex was your friend and that stays your hand. Besides--""","""这个嘛，看在他曾经是你朋友的份上，我想你应该下不去手吧。再说-"""
440,第一幕·场景2,a1s2,61,,,旁白,I poke him in the stomach.,我戳了戳他的肚腩。
441,第一幕·场景2,a1s2,62,m,主角(MC),台词,"""--you {i}are{/i} soft.""","""-你{b}确实{/b}很软。"""
442,第一幕·场景2,a1s2,64,a,Amicus,台词,"""Mph!""","""唔姆！"""
443,第一幕·场景2,a1s2,65,,,旁白,"He grunts, and seems about to say something, but then awkwardly looks away, at the palace.",他咕哝了一声，似乎想说点什么，却又尴尬地移开了视线，望向皇宫。
444,第一幕·场景2,a1s2,66,m,主角(MC),台词,"""You alright?""","""怎么了？"""
445,第一幕·场景2,a1s2,68,a,Amicus,台词,"""I am...""","""我..."""
446,第一幕·场景2,a1s2,69,,,旁白,Then he takes a breath like he always does before talking about something that's bothering him.,然后他像往常那样，在讲令他困扰着的事前先深吸了一口气。
