序号,章节,章节代码,源行号,说话人代码,说话人,类型,英文原文,中文译文
821,第一幕·场景1,a1s1,1259,m,Scipio,台词,"""Wolven friends. I know we are already friends by Khemian standards, just as you were friends with Marcus and Carbo.""",
822,第一幕·场景1,a1s1,1261,n,Neferu,台词,"""What can I say? You make great conversation. If my interpretations are correct, I believe that I feel the same way.""",
823,第一幕·场景1,a1s1,1262,m,Scipio,台词,"""Thank you. But because of that, I feel I should tell you some things about myself that could be important. So... I want to explain what happened last night.""",
824,第一幕·场景1,a1s1,1264,n,Neferu,台词,"""I see. Then I will let you speak without interruption.""",
825,第一幕·场景1,a1s1,1265,m,Scipio,台词,"""Well, there is not much to say. Simply that I had a terrible experience three years ago, during Cato's Riots. You may be aware that they targeted the university, among other institutions.""",
826,第一幕·场景1,a1s1,1266,m,Scipio,台词,"""They stormed our dormitories and attacked students and faculty. I was one of the unfortunate ones to be caught, likely due to my more obvious mane, and I was... humiliated in various ways.""",
827,第一幕·场景1,a1s1,1267,,,旁白,"I look at Neferu's reflection, and he looks back at me, his expression attentive, but stoic.",
828,第一幕·场景1,a1s1,1268,m,Scipio,台词,"""What I experienced was mild compared to others, perhaps even merciful, because I am still alive. I think my issue is that I witnessed many of these terrible things. This all left an impression on my mind, a sort of...""",
829,第一幕·场景1,a1s1,1269,,,旁白,"I furrow my brow, trying to think of the right words to describe it.",
830,第一幕·场景1,a1s1,1270,m,Scipio,台词,"""Like, an ache, but in my mind, one that I have mostly been able to overcome, but the events at the den last night... It irritated that ache a bit.""",
831,第一幕·场景1,a1s1,1271,,,旁白,"I had been somewhat lucky that my spectacles had been knocked off and broken, leaving the happenings beyond my immediate vicinity a literal blur, but it had been enough.",
832,第一幕·场景1,a1s1,1272,m,Scipio,台词,"""The reaction you saw from me is connected to this. Being awoken suddenly in the unfamiliar den, then witnessing what happened, I was unprepared.""",
833,第一幕·场景1,a1s1,1273,m,Scipio,台词,"""But I am prepared now, and I doubt the ache will return like it did. I just wanted to explain it to you, as a friend, though it is something I only tell friends, so I hope you can keep it between us.""",
834,第一幕·场景1,a1s1,1274,,,旁白,"I wait for a moment, somewhat satisfied with my tactics in explaining this to him.",
835,第一幕·场景1,a1s1,1275,,,旁白,But he stays quiet.,
836,第一幕·场景1,a1s1,1276,,,旁白,Anxiety knots up in a place just below my diaphragm.,
837,第一幕·场景1,a1s1,1277,,,旁白,"I look up at Neferu, though he's still gazing into the water.",
838,第一幕·场景1,a1s1,1285,m,Scipio,台词,"""I--I hope I was able to make sense. I am not insane. I understand what is happening shortly after these moments, and it's only happened a few times this past year.""",
839,第一幕·场景1,a1s1,1286,,,旁白,More silence.,
840,第一幕·场景1,a1s1,1287,m,Scipio,台词,"""And I can face moments of extreme stress when I am prepared, and I can guarantee that I will always be prepared during our mission.""",
841,第一幕·场景1,a1s1,1288,,,旁白,"If this isn't bad enough, my words waver toward the end, feeling my heart beginning to sink.",
842,第一幕·场景1,a1s1,1293,,,旁白,Dammit.,
843,第一幕·场景1,a1s1,1294,,,旁白,I should have known.,
844,第一幕·场景1,a1s1,1295,,,旁白,Why had I been this naive?,
845,第一幕·场景1,a1s1,1296,,,旁白,Neferu is a Khemian.,
846,第一幕·场景1,a1s1,1297,,,旁白,"They're known for many things, one of them being efficient, so why keep something that is inefficient?",
847,第一幕·场景1,a1s1,1298,,,旁白,That is what I am.,
848,第一幕·场景1,a1s1,1299,,,旁白,"I'm being selfish, wolven pride preventing me from admitting to it, trying to stay on the mission for my own personal reasons.",
849,第一幕·场景1,a1s1,1300,m,Scipio,台词,"""I suppose you're upset with me?""",
850,第一幕·场景1,a1s1,1301,,,旁白,"I mumble dejectedly, feeling myself wanting to cry.",
851,第一幕·场景1,a1s1,1302,,,旁白,"It feels unusually easy to do now, after sobbing to my mother last night.",
852,第一幕·场景1,a1s1,1303,,,旁白,Neferu finally looks at me.,
853,第一幕·场景1,a1s1,1305,n,Neferu,台词,"""Scipio.""",
854,第一幕·场景1,a1s1,1306,m,Scipio,台词,"""Yes?""",
855,第一幕·场景1,a1s1,1307,,,旁白,I keep my voice light and attentive.,
856,第一幕·场景1,a1s1,1308,n,Neferu,台词,"""I am upset, but not with you. I am... frustrated with many things. I suppose I'm upset with Adastra as a whole.""",
857,第一幕·场景1,a1s1,1309,,,旁白,The jackal's voice is heavy and distant.,
858,第一幕·场景1,a1s1,1310,m,Scipio,台词,"""Adastra?""",
859,第一幕·场景1,a1s1,1311,n,Neferu,台词,"""You already know this, but the catalyst of those riots involved me to an extent.""",
860,第一幕·场景1,a1s1,1312,,,旁白,"Of course I do, but I'm still surprised that he's addressing it so directly.",
861,第一幕·场景1,a1s1,1313,,,旁白,"I had seen imagery of Neferu being prepared for execution by Cato shortly after the riots, but I never delved into it, into any part of the riots, because why would I?",
862,第一幕·场景1,a1s1,1314,,,旁白,"No one has spoken about it, not in the two years I've been involved in the mission.",
863,第一幕·场景1,a1s1,1315,,,旁白,And why would we?,
864,第一幕·场景1,a1s1,1316,,,旁白,I clear my throat.,
865,第一幕·场景1,a1s1,1317,m,Scipio,台词,"""I do know, yes.""",
866,第一幕·场景1,a1s1,1318,n,Neferu,台词,"""When I was kneeling in the amphitheater, certain my life was about to end, I was at peace. In fact, you might even say that I was willing to die, especially at that time.""",
867,第一幕·场景1,a1s1,1319,n,Neferu,台词,"""I had reasoned that it was an easy purpose and a quick path to redemption.""",
868,第一幕·场景1,a1s1,1320,,,旁白,Neferu trails his paw through the water.,
869,第一幕·场景1,a1s1,1321,n,Neferu,台词,"""But then I was saved by a friend. Shortly afterwards, I witnessed {i}his{/i} neck being slashed instead.""",
870,第一幕·场景1,a1s1,1322,n,Neferu,台词,"""At the moment he was leaning against me, I saw his neck in detail. I then witnessed his final moments with his lover.""",
871,第一幕·场景1,a1s1,1323,,,旁白,"I continue to listen, attentive despite knowing the story.",
872,第一幕·场景1,a1s1,1324,,,旁白,The human's sacrifice saved Amicus's rule and Neferu's life.,
873,第一幕·场景1,a1s1,1325,,,旁白,I would have thought of it as an intensely joyous moment for the jackal.,
874,第一幕·场景1,a1s1,1326,m,Scipio,台词,"""He is very brave.""",
875,第一幕·场景1,a1s1,1327,,,旁白,"Neferu is quiet for a moment, still playing with the water.",
876,第一幕·场景1,a1s1,1328,n,Neferu,台词,"""Yes, though he'd deny it and tell you that he simply never knows what he's doing, and only 'goes with the flow', or something along those lines.""",
877,第一幕·场景1,a1s1,1329,,,旁白,"The Luxian phrase ""use the river"" comes to mind.",
878,第一幕·场景1,a1s1,1330,,,旁白,"A simple concept, but its literal meaning, to see the rivers around us as tools rather than obstacles, helped the community survive and rise to the prominence of a triumvir city.",
879,第一幕·场景1,a1s1,1331,n,Neferu,台词,"""I tell you this because that experience changed something within me. I don't believe that I ever feared death until that moment, when it happened right before my eyes.""",
880,第一幕·场景1,a1s1,1332,n,Neferu,台词,"""For the first time, I watched a sapient, a friend, transition from existence, to nothing. Nothing but an empty, damaged vessel cradled in his lover's arms.""",
881,第一幕·场景1,a1s1,1333,,,旁白,Now I think I understand.,
882,第一幕·场景1,a1s1,1334,,,旁白,"Memories surface of that bright, blue-sky day slowly turning to a reddish haze as clouds of glowing orange towered over the city, and of Professor Urbicus lying on his back in the street next to me as I played dead.",
883,第一幕·场景1,a1s1,1335,,,旁白,"I watched his fitful death throes, his last, sporadic movements as his damaged brain struggled to continue its existence.",
884,第一幕·场景1,a1s1,1336,,,旁白,Before it finally failed.,
885,第一幕·场景1,a1s1,1337,,,旁白,"He had been trying to defend me, telling them to leave the students be, and so they turned their attention to him.",
886,第一幕·场景1,a1s1,1338,,,旁白,"His long, accomplished life had him serve under three different emperors before he dedicated the remainder of that life to instilling the art of rhetoric into the youth.",
887,第一幕·场景1,a1s1,1339,,,旁白,"And despite all of that, he'd used his last words to save me.",
888,第一幕·场景1,a1s1,1340,,,旁白,"My mind begins clouding slightly, and Neferu notices.",
889,第一幕·场景1,a1s1,1351,n,Neferu,台词,"""Sorry, are you alright?""",
890,第一幕·场景1,a1s1,1354,,,旁白,I clear my mind by focusing back on the present.,
891,第一幕·场景1,a1s1,1355,m,Scipio,台词,"""Yes.""",
892,第一幕·场景1,a1s1,1357,n,Neferu,台词,"""I could have handled that more delicately, but my point is this; we shared a terrible moment three years ago, and while our experiences likely cannot be compared, it's a moment that affects us deeply to this very day.""",
893,第一幕·场景1,a1s1,1358,,,旁白,He pauses.,
894,第一幕·场景1,a1s1,1359,n,Neferu,台词,"""Excuse my Khemian ways, but--""",
895,第一幕·场景1,a1s1,1361,,,旁白,"Neferu's arm is suddenly around my shoulders, pulling me in towards him until my muzzle is right next to his and he rests his head against mine.",
896,第一幕·场景1,a1s1,1362,,,旁白,"I freeze up slightly, unused to physical contact like this unless it's one of carnal intimacy.",
897,第一幕·场景1,a1s1,1363,n,Neferu,台词,"""{i}Ahewawi{/i}.""",
898,第一幕·场景1,a1s1,1364,,,旁白,"I hear Neferu's voice unfiltered by my lingua for the first time, and of course he speaks perfect, beautiful Khemian.",
899,第一幕·场景1,a1s1,1365,n,Neferu,台词,"""That is our word for it; 'old pain'. I know that it's not in Adastran vocabulary, which makes this all the more frustrating. Here, you are expected to face inner turmoil alone. This is what upsets me.""",
900,第一幕·场景1,a1s1,1366,,,旁白,"I recall that physical closeness between friends is common on Khemia, to the point that a wolf might have trouble distinguishing between friends and lovers.",
901,第一幕·场景1,a1s1,1367,,,旁白,"I relax a bit, then lean into Neferu more, partially because I'm happy to be part of anything Khemian, and also because this is actually comforting.",
902,第一幕·场景1,a1s1,1368,,,旁白,I understand what Neferu is telling me now.,
903,第一幕·场景1,a1s1,1369,,,旁白,"But I never expected this, the son of the pharaoh to struggle with ""{i}ahewawi{/i}"" like I do.",
904,第一幕·场景1,a1s1,1370,,,旁白,"That word stirs something deep in my memory, and I try to think of why.",
905,第一幕·场景1,a1s1,1371,,,旁白,Neferu gently pulls back.,
906,第一幕·场景1,a1s1,1373,n,Neferu,台词,"""So understand that you don't have to hide your struggles from me. I would rather help you manage them.""",
907,第一幕·场景1,a1s1,1374,,,旁白,"I'm still feeling the relief of Neferu's acceptance, and for a moment, I forget my mission, knowing I can confide in a friend, someone other than just my mother, but...",
908,第一幕·场景1,a1s1,1375,m,Scipio,台词,"""I... I worry that I will be dismissed from the mission if it interferes with my duties. Everyone else seems to have moved past this moment.""",
909,第一幕·场景1,a1s1,1376,m,Scipio,台词,"""Why does my mind seem to sometimes... temporarily malfunction against my will?""",
910,第一幕·场景1,a1s1,1378,,,旁白,"Suddenly, I've just laid bare my deepest fears to the very jackal that {i}I{/i} am supposed to decode.",
911,第一幕·场景1,a1s1,1379,,,旁白,"I realize that I must be Adastra's worst spy, and the always suspicious part of my mind wonders if I'm being purposefully manipulated.",
912,第一幕·场景1,a1s1,1380,,,旁白,"I dismiss the thought almost as quickly as it forms, knowing there's little to be gained from me, the scholar's assistant.",
913,第一幕·场景1,a1s1,1381,,,旁白,"Not only that, but it feels genuine.",
914,第一幕·场景1,a1s1,1382,,,旁白,"I've always admired Khemian culture, but for the first time I feel as if I'm being included in it, and it's wonderful.",
915,第一幕·场景1,a1s1,1384,n,Neferu,台词,"""I know. Also, you should know that there are likely many, many others like you. They simply hide it well, just as you do. And while I would have advised you to resign for your own health, Khemia is much more stable.""",
916,第一幕·场景1,a1s1,1385,,,旁白,"Neferu leans back on both paws, relaxed again as his usual, impish nature returns.",
917,第一幕·场景1,a1s1,1390,n,Neferu,台词,"""On the contrary, I believe going to Khemia might help you. Especially if you're only there to record and experience the culture, as you said.""",
918,第一幕·场景1,a1s1,1391,m,Scipio,台词,"""Well, thank you Neferu, for giving me this Khemian experience. It's... refreshing to say what I am thinking.""",
919,第一幕·场景1,a1s1,1393,n,Neferu,台词,"""Liberating, isn't it? Keep practicing and you'll fit right in once we arrive on Khemia.""",
920,第一幕·场景1,a1s1,1394,,,旁白,"That's when I remember that I've heard ""{i}ahewawi{/i}"" before, but as I'm pondering this, we are interrupted.",
921,第一幕·场景1,a1s1,1395,br,Brunis,台词,"""Why don't you practice on me? I'd like some blunt answers right about now.""",
922,第一幕·场景1,a1s1,1397,,,旁白,"Brunis's deep, rumbling voice startles me out of my thoughts, and we both turn to see the big wolverine standing about ten paces behind us.",
923,第一幕·场景1,a1s1,1398,,,旁白,How a creature so large managed to get so close without my noticing is beyond me.,
924,第一幕·场景1,a1s1,1400,n,Neferu,台词,"""Morning, Brunis. Decided to join the palace club?""",
925,第一幕·场景1,a1s1,1411,br,Brunis,台词,"""Yeah, well, I was escorted by a bunch of drones, so I didn't exactly have a choice.""",
926,第一幕·场景1,a1s1,1413,n,Neferu,台词,"""Someone's a bit testy this morning.""",
927,第一幕·场景1,a1s1,1415,br,Brunis,台词,"""Someone's about to explain to me what the hell they did last night!""",
928,第一幕·场景1,a1s1,1417,,,旁白,"My ears fall flat, and I look away.",
929,第一幕·场景1,a1s1,1419,br,Brunis,台词,"""Not you, Skip. I already know that whatever happened is {i}his{/i} fault.""",
930,第一幕·场景1,a1s1,1421,,,旁白,Neferu smirks in response.,
931,第一幕·场景1,a1s1,1423,n,Neferu,台词,"""If you want details you'll have to accept my invitations one of these days. I tend to have a looser tongue during pillow talk.""",
932,第一幕·场景1,a1s1,1425,br,Brunis,台词,"""Don't take this the wrong way, but I'm really damn curious as to why you haven't been kicked in the balls more than once on this moon.""",
933,第一幕·场景1,a1s1,1427,,,旁白,That seems to quickly sour Neferu's mood.,
934,第一幕·场景1,a1s1,1429,n,Neferu,台词,"""Because, Brunis, video recording devices are a luxury on Adastra.""",
935,第一幕·场景1,a1s1,1431,br,Brunis,台词,"""So you have been? Good, you deserved it.""",
936,第一幕·场景1,a1s1,1433,,,旁白,The wolverine turns to look at me.,
937,第一幕·场景1,a1s1,1435,br,Brunis,台词,"""I still don't think this is your fault, but maybe you can tell me what happened so we're not all wasting our breath?""",
938,第一幕·场景1,a1s1,1437,,,旁白,"At this point, Neferu steps in.",
939,第一幕·场景1,a1s1,1439,n,Neferu,台词,"""Someone attempted to attack us, likely from one of the separatist groups. It's under investigation.""",
940,第一幕·场景1,a1s1,1443,n,Neferu,台词,"""The immediate situation was taken care of, but Amicus is taking extra precautions to make sure we are unharmed until we depart for Khemia.""",
941,第一幕·场景1,a1s1,1445,br,Brunis,台词,"""An attack? What like, they threw crap at you sort of attack, or tried to kill you sort of attack?""",
942,第一幕·场景1,a1s1,1447,n,Neferu,台词,"""The latter, but I will tell you the details later. For now, just enjoy the rare opportunity of being able to reside in the grand Adastran Imperial Palace.""",
943,第一幕·场景1,a1s1,1449,br,Brunis,台词,"""Wha-""",
944,第一幕·场景1,a1s1,1451,,,旁白,Brunis seems to take Neferu's hint and manages to stifle the reaction that would have followed.,
945,第一幕·场景1,a1s1,1453,br,Brunis,台词,"""Well, as long as the two of you are okay. Honestly, this place gives me the creeps. I've only seen footage of this place when Cato tried to murder you. That and the fact they've only got drones around here.""",
946,第一幕·场景1,a1s1,1455,br,Brunis,台词,"""But I'm especially on edge 'cuz all my stuff got spirited away on a bunch of drones to who-the-hell-knows-where and my medicine went with it. I haven't been able to refill for a whole day now.""",
947,第一幕·场景1,a1s1,1457,,,旁白,"The big wolverine manipulates the pipe in his mouth, the one that emanates the herbal smell I recognize him for, before he sucks on it comically hard, his cheeks hollowing out.",
948,第一幕·场景1,a1s1,1458,,,旁白,I clear my throat.,
949,第一幕·场景1,a1s1,1459,m,Scipio,台词,"""Er... Com?""",
950,第一幕·场景1,a1s1,1462,,,旁白,"There's a momentary pause during which both Neferu and Brunis look at me, and I wonder if I've made a fool of myself trying to communicate with the imperial computer while outside.",
951,第一幕·场景1,a1s1,1463,,,旁白,"Thankfully, though--",
952,第一幕·场景1,a1s1,1464,com,Computer,台词,"""Yes, Scipio?""",
953,第一幕·场景1,a1s1,1465,m,Scipio,台词,"""Can you locate Brunis's belongings? You were flying them in by drone.""",
954,第一幕·场景1,a1s1,1466,com,Computer,台词,"""They have been deposited on the roof.""",
955,第一幕·场景1,a1s1,1468,br,Brunis,台词,"""What?""",
956,第一幕·场景1,a1s1,1469,com,Computer,台词,"""I have information regarding the situation that may be of note: Brunis's luggage contained an illegal preparation of the Khemian plant {i}papywei{/i} to be vaporized in a pipe contraption.""",
957,第一幕·场景1,a1s1,1471,br,Brunis,台词,"""Wha--""",
958,第一幕·场景1,a1s1,1472,com,Computer,台词,"""It was properly disposed of via incineration and a report has been filed and sent to Amicus suggesting a 100-year prison sentence for Brunis.""",
959,第一幕·场景1,a1s1,1474,br,Brunis,台词,"""WHAT?""",
960,第一幕·场景1,a1s1,1475,,,旁白,Neferu talks over the angry growls coming from the wolverine.,
961,第一幕·场景1,a1s1,1479,n,Neferu,台词,"""Why was it dropped on the roof, Com?""",
962,第一幕·场景1,a1s1,1480,com,Computer,台词,"""To follow cargo-loading protocol. All members of the Khemian envoy have had their personal belongings moved to the roof.""",
963,第一幕·场景1,a1s1,1482,m,Scipio,台词,"""Cargo loading?""",
964,第一幕·场景1,a1s1,1484,br,Brunis,台词,"""We are not leaving here until I get my damn {i}pap{/i}! I would rather rip off my one arm than have to go through the stretch without my medicine!""",
965,第一幕·场景1,a1s1,1485,m,Scipio,台词,"""Just a moment, does that mean the ship...{i}the{/i} ship has arrived?""",
966,第一幕·场景1,a1s1,1486,,,旁白,I'm answered by someone I didn't even know is in the gardens with us.,
967,第一幕·场景1,a1s1,1488,ve,Veteris,台词,"""{i}It's heeeeeere!{/i}""",
968,第一幕·场景1,a1s1,1492,,,旁白,"I know it's Veteris, having heard his over-excitement before, but his normally reedy voice is especially high and harsh now.",
969,第一幕·场景1,a1s1,1493,,,旁白,"We all look around in confusion, and then--",
970,第一幕·场景1,a1s1,1498,br,Brunis,台词,"""Holy shit! where'd you come fr--""",
971,第一幕·场景1,a1s1,1501,ve,Veteris,台词,"""The ship has entered the atmosphere!""",
972,第一幕·场景1,a1s1,1502,,,旁白,"Veteris's manic demeanor seems to disturb my two friends, which is understandable considering they've never seen him in such a state.",
973,第一幕·场景1,a1s1,1503,,,旁白,"It even surprises me a bit, but it's understandable considering this is the beginning of he and I seeing large, state-funded Khemian tech in person for the first time.",
974,第一幕·场景1,a1s1,1504,ve,Veteris,台词,"""How far away is the ship, Com?""",
975,第一幕·场景1,a1s1,1505,com,Computer,台词,"""Arrival in approximately two minutes and thirty-two seconds.""",
976,第一幕·场景1,a1s1,1506,ve,Veteris,台词,"""Scipio!""",
977,第一幕·场景1,a1s1,1507,,,旁白,"I'm a bit distracted, trying to think of anything else I might need to do here on Adastra before I depart for at least several months.",
978,第一幕·场景1,a1s1,1508,,,旁白,Longer if all goes well.,
979,第一幕·场景1,a1s1,1509,,,旁白,"I've already gone over my checklist more times than I can count, but I always feel as if I'm missing something.",
980,第一幕·场景1,a1s1,1510,,,旁白,"Veteris is adamant on getting my attention though, leaping in front of me.",
981,第一幕·场景1,a1s1,1518,ve,Veteris,台词,"""Scipio, my boy!""",
982,第一幕·场景1,a1s1,1519,,,旁白,His voice has transitioned to a hoarse whisper.,
983,第一幕·场景1,a1s1,1520,ve,Veteris,台词,"""Remember this moment! Cherish this moment!""",
984,第一幕·场景1,a1s1,1521,,,旁白,Then he yanks me down to a kneeling position before grabbing my head rather roughly and tilting it toward the sky.,
985,第一幕·场景1,a1s1,1522,ve,Veteris,台词,"""Behold, your first view of Khemian tech. Let it inspire you, Scipio. It is what Adastra can be!""",
986,第一幕·场景2,a1s2,7,,,旁白,"For some reason, as the ship arrives, I'm not fully struck by its significance.",
987,第一幕·场景2,a1s2,8,,,旁白,"It descends in a quiet, controlled manner, as the sun gleams off the metal, and I think at first that maybe they just sent a Parental-built one instead.",
988,第一幕·场景2,a1s2,9,,,旁白,It doesn't seem too different from Adastran ships gifted to us by the Romanus parents.,
989,第一幕·场景2,a1s2,10,,,旁白,"It's a bit more smooth in its architecture, and it's definitely larger than any I'd seen before.",
990,第一幕·场景2,a1s2,11,,,旁白,But it's simply that; a different version of what I had seen in the past.,
991,第一幕·场景2,a1s2,12,,,旁白,"However, as we wait on the roof during takeoff preparations, I finally realize what I'm seeing.",
992,第一幕·场景2,a1s2,13,,,旁白,"This isn't Parental tech, this actually {i}is{/i} Khemian tech.",
993,第一幕·场景2,a1s2,14,,,旁白,"I'm not sure what I had been expecting, likely something loud, and powerful, like the Omorfan ships I've seen.",
994,第一幕·场景2,a1s2,15,,,旁白,"And unlike the many Adastran ships that fly through the air above the capital, it was not simply gifted by the Parents.",
995,第一幕·场景2,a1s2,16,,,旁白,This was built by the Khemians themselves.,
996,第一幕·场景2,a1s2,17,,,旁白,"By engineers that were not only knowledgeable in how to fix ship components when they wore out or malfunctioned, but also in how to actually build them.",
997,第一幕·场景2,a1s2,18,,,旁白,"And when taking that into consideration, it is certainly impressive... More than that, it's almost inconceivable.",
998,第一幕·场景2,a1s2,19,,,旁白,"I've known this to be the case since studying Khemian history and culture, but to not be able to tell the difference between their own technology and the Parents is stunning.",
999,第一幕·场景2,a1s2,20,,,旁白,"It even frightens me a bit as I climb aboard the sibling-built craft as it appears more comfortable, and perhaps even more stable than machinery built by the parents.",
1000,第一幕·场景2,a1s2,22,,,旁白,"This sense of awe and reverence comes to an abrupt end however, as we board the ship and walk through the corridor, just when I happen to peer out the window.",
1001,第一幕·场景2,a1s2,23,,,旁白,"I'm looking out over the lake, a pleasant view, before the palace, well, before {i}everything{/i} flies away.",
1002,第一幕·场景2,a1s2,24,,,旁白,"It happens so fast that I go from seeing the imperial gardens to seeing what I realize is the entirety of the moon, over the course of just a few seconds.",
1003,第一幕·场景2,a1s2,33,,,旁白,"The suddenness of it all, and the odd sensation of seeing such a movement, yet feeling none of it, makes my stomach turn.",
1004,第一幕·场景2,a1s2,34,,,旁白,"My body leans forward, balance teetering as if wanting to fall out the window, and I force myself upright before the others might notice.",
1005,第一幕·场景2,a1s2,35,,,旁白,"Luckily, Amicus and Veteris are looking out the window instead, seemingly unbothered by the sight.",
1006,第一幕·场景2,a1s2,36,,,旁白,"My sudden lurch gets the attention of who is behind me though, and Neferu gently holds onto my elbow.",
1007,第一幕·场景2,a1s2,39,n,Neferu,台词,"""Are you alright?""",
1008,第一幕·场景2,a1s2,40,,,旁白,"There usually aren't windows on the few transport ships I've been on in the past, but now that I can see...",
1009,第一幕·场景2,a1s2,41,,,旁白,"It's almost like when I would go sailing with friends on the ocean, the terrible, all-consuming seasickness that came with it.",
1010,第一幕·场景2,a1s2,42,,,旁白,"This is all at once, though.",
1011,第一幕·场景2,a1s2,43,m,Scipio,台词,"""Fine... I'm fine.""",
1012,第一幕·场景2,a1s2,46,br,Brunis,台词,"""You don't look fine.""",
1013,第一幕·场景2,a1s2,47,,,旁白,"The big wolverine sidles up next to Neferu, looking at me closely which makes me draw back.",
1014,第一幕·场景2,a1s2,48,m,Scipio,台词,"""I'm--""",
1015,第一幕·场景2,a1s2,54,,,旁白,Then the stars bend in the most queasy way imaginable and I stumble to the side again.,
1016,第一幕·场景2,a1s2,55,,,旁白,"I hear my pulse begin to thud dully in my ears, panicking at the way I seem to be losing control of my body, at the same time fearing I might lose control of my stomach as well.",
1017,第一幕·场景2,a1s2,57,n,Neferu,台词,"""You are most certainly not fine. Is this your first time in the stretch?""",
1018,第一幕·场景2,a1s2,59,br,Brunis,台词,"""Well of course it is, Nef. The hell do you think--""",
1019,第一幕·场景2,a1s2,63,,,旁白,"Neferu is moving me away from the window, but I'm already looking away, horrified.",
1020,第一幕·场景2,a1s2,64,,,旁白,I'm going to vomit... in front of everyone.,
1021,第一幕·场景2,a1s2,65,,,旁白,"Somehow, Amicus and Veteris have continued on their way, deep in conversation that I vaguely realize I should be making myself a part of.",
1022,第一幕·场景2,a1s2,66,,,旁白,But that will have to wait.,
1023,第一幕·场景2,a1s2,67,m,Scipio,台词,"""I'm fine! Just wondering where a lavatory might be!""",
1024,第一幕·场景2,a1s2,68,,,旁白,"My voice is slightly louder than it should be, though Amicus's deep, resonant voice seems to cover it up, because I can hear him rumbling on as Neferu guides me down another corridor of the ship.",
1025,第一幕·场景2,a1s2,69,a,Amicus,台词,"""Hm, we're moving rather fast. I can barely distinguish the stars.""",
1026,第一幕·场景2,a1s2,70,ve,Veteris,台词,"""Of course! The Khemians developed a drive better than the one the Parents lend us!""",
1027,第一幕·场景2,a1s2,71,a,Amicus,台词,"""How is this possible?""",
1028,第一幕·场景2,a1s2,72,,,旁白,Amicus echoes my own thoughts that would be at the forefront of my mind if not for the situation I'm in.,
1029,第一幕·场景2,a1s2,73,,,旁白,I allow myself to be pushed along until we reach a door that opens automatically without any panels being touched.,
1030,第一幕·场景2,a1s2,76,n,Neferu,台词,"""This area is the living quarters. I'm not sure where you'll be bunking, but we'll be sharing the toilet.""",
1031,第一幕·场景2,a1s2,77,,,旁白,"We move toward an even smaller door, one that does require the push of a panel.",
1032,第一幕·场景2,a1s2,78,n,Neferu,台词,"""Considering the journey is only about 12 hours, it should be somewhat tolerable, I think.""",
1033,第一幕·场景2,a1s2,80,n,Neferu,台词,"""Do you need anti-nausea medication?""",
1034,第一幕·场景2,a1s2,81,,,旁白,Too late for that.,
1035,第一幕·场景2,a1s2,82,n,Neferu,台词,"""They kick in within minutes.""",
1036,第一幕·场景2,a1s2,83,,,旁白,Still too late.,
1037,第一幕·场景2,a1s2,84,,,旁白,"Neferu makes as if to follow me into the lavatory, probably wanting to help like last time, but I hold up a paw.",
1038,第一幕·场景2,a1s2,85,m,Scipio,台词,"""I'm fine! Just...""",
1039,第一幕·场景2,a1s2,86,,,旁白,My stomach heaves and I fear its contents are about to spew on Neferu.,
1040,第一幕·场景2,a1s2,87,m,Scipio,台词,"""I'll be right back!""",
1041,第一幕·场景2,a1s2,89,,,旁白,"I quickly move into the little room, leaving a perturbed Neferu behind as I furiously stab at the panel inside the lavatory until the door slides shut.",
1042,第一幕·场景2,a1s2,93,,,旁白,"I stand over the toilet for several seconds, vaguely thinking to myself that it's quite similar to the ones on Adastra.",
1043,第一幕·场景2,a1s2,94,,,旁白,"I suppose that some things are universal in design, and then what's in my stomach comes out.",
1044,第一幕·场景2,a1s2,103,,,旁白,"I'm in the lavatory for a little while, maybe about 10 minutes, partially to collect myself, but mostly because I'm embarrassed and I just hope Neferu has moved on for now.",
1045,第一幕·场景2,a1s2,104,,,旁白,"Still, at least I had managed not to be sick in the corridor like my stomach wanted to be.",
1046,第一幕·场景2,a1s2,105,,,旁白,"I'm running my paws under the faucet, cleaning myself up before the stream of water suddenly stops and an unfamiliar voice rings in my head.",
1047,第一幕·场景2,a1s2,106,unk,?????,台词,"""Scipio?""",
1048,第一幕·场景2,a1s2,107,,,旁白,I yelp out loud.,
1049,第一幕·场景2,a1s2,108,unk,?????,台词,"""Apologies. Paw-washing water limit has been reached.""",
1050,第一幕·场景2,a1s2,109,,,旁白,"I stand there, staring at my own reflection in the mirror, deciding that what I'd heard came from within my head.",
1051,第一幕·场景2,a1s2,110,,,旁白,But how?,
1052,第一幕·场景2,a1s2,111,,,旁白,"I begin to panic slightly before I realize that, like with some parental tech I'd interacted with, it must be from my lingua.",
1053,第一幕·场景2,a1s2,112,,,旁白,"So, I respond.",
1054,第一幕·场景2,a1s2,113,m,Scipio,台词,"""Erm... Yes? Who is this?""",
1055,第一幕·场景2,a1s2,114,,,旁白,I get an immediate answer in return.,
1056,第一幕·场景2,a1s2,115,unk,?????,台词,"""I am Ahm, the State-sponsored computer assistant of Khemia.""",
1057,第一幕·场景2,a1s2,116,m,Scipio,台词,"""Oh... Oh! Yes, I know of you. I've studied...""",
1058,第一幕·场景2,a1s2,117,,,旁白,"I trail off, reminding myself that this is a computer, and it does not care about what I've studied, or about anything at all.",
1059,第一幕·场景2,a1s2,118,ahm,Ahm,台词,"""You have studied me?""",
